GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC05_EST_VC02,HC05_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC05_EST_VC03,HC05_MOE_VC03,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC05_EST_VC06,HC05_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC05_EST_VC07,HC05_MOE_VC07,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC05_EST_VC10,HC05_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC05_EST_VC11,HC05_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC04_EST_VC12,HC04_MOE_VC12,HC05_EST_VC12,HC05_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC05_EST_VC13,HC05_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC05_EST_VC15,HC05_MOE_VC15,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC04_EST_VC17,HC04_MOE_VC17,HC05_EST_VC17,HC05_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC05_EST_VC18,HC05_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC05_EST_VC19,HC05_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20,HC05_EST_VC20,HC05_MOE_VC20,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC04_EST_VC23,HC04_MOE_VC23,HC05_EST_VC23,HC05_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC04_EST_VC24,HC04_MOE_VC24,HC05_EST_VC24,HC05_MOE_VC24,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC03_EST_VC27,HC03_MOE_VC27,HC04_EST_VC27,HC04_MOE_VC27,HC05_EST_VC27,HC05_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC03_EST_VC28,HC03_MOE_VC28,HC04_EST_VC28,HC04_MOE_VC28,HC05_EST_VC28,HC05_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC03_EST_VC29,HC03_MOE_VC29,HC04_EST_VC29,HC04_MOE_VC29,HC05_EST_VC29,HC05_MOE_VC29,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC03_EST_VC32,HC03_MOE_VC32,HC04_EST_VC32,HC04_MOE_VC32,HC05_EST_VC32,HC05_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC03_EST_VC33,HC03_MOE_VC33,HC04_EST_VC33,HC04_MOE_VC33,HC05_EST_VC33,HC05_MOE_VC33
1400000US08001007801,8001007801,"Census Tract 78.01, Adams County, Colorado",1166,81,412,99,22,28,313,97,419,95,3.52,0.33,5.2,0.56,2.91,0.74,4,0.49,1.54,0.26,747,109,412,99,22,28,313,97,(X),(X),4.44,0.35,5.2,0.56,2.91,0.74,3.54,0.42,(X),(X),564,114,340,92,6,11,218,94,(X),(X),21.8,9.8,12.1,10.5,100,100,34.9,20.3,(X),(X),35.5,13.6,39.1,19.3,0,100,30.7,21.7,(X),(X),42.7,14.2,48.8,18.2,0,100,34.4,23.7,(X),(X),1166,81,412,99,22,28,313,97,419,95,51.7,9.7,85.4,10.9,100,63.2,73.2,18,0,7.5,19.2,7.1,11.9,7.7,0,63.2,20.1,15.8,26.7,13.7,23.2,7.8,(X),(X),(X),(X),(X),(X),64.4,16,3.1,2.6,(X),(X),(X),(X),(X),(X),8.6,7.5,0,2.7,(X),(X),(X),(X),(X),(X),(X),(X),8.5,4.9,(X),(X),(X),(X),(X),(X),(X),(X),24.4,6.8,24.8,11.9,27.3,54.7,36.1,17.4,15.3,10.5,74.8,7,73.1,12.6,72.7,54.7,63.9,17.4,84.7,10.5,0.8,1.4,2.2,3.9,0,63.2,0,9.9,0,7.5,9.1,4.5,7.8,6.8,0,63.2,12.5,9.9,8.4,7.5,90.9,4.5,92.2,6.8,100,63.2,87.5,9.9,91.6,7.5
1400000US08001007802,8001007802,"Census Tract 78.02, Adams County, Colorado",1187,103,417,101,126,83,334,99,310,95,3.56,0.36,4.42,0.46,4.58,0.67,4.19,0.58,1.3,0.14,877,129,417,101,126,83,334,99,(X),(X),4.13,0.29,4.31,0.44,4.18,0.42,3.87,0.51,(X),(X),708,125,339,97,89,71,280,95,(X),(X),19.4,9.7,14.5,14.4,14.6,23.6,26.8,17.4,(X),(X),42.7,15.3,52.5,19.1,43.8,48.7,30.4,21.4,(X),(X),38,13.6,33,18.4,41.6,43.6,42.9,20.5,(X),(X),1187,103,417,101,126,83,334,99,310,95,60.9,9.2,81.3,12,70.6,31.8,88.3,6.9,0,9.9,13.1,3.3,9.1,7.3,0,22.5,17.7,9.2,18.7,9.9,19.2,6.8,(X),(X),(X),(X),(X),(X),73.5,12.5,4.1,2.3,(X),(X),(X),(X),(X),(X),15.8,8.5,0,2.7,(X),(X),(X),(X),(X),(X),(X),(X),13.9,7.2,(X),(X),(X),(X),(X),(X),(X),(X),31.5,7,45.3,13.6,0,22.5,35.3,15.3,21.6,12.1,68.5,7,54.7,13.6,100,22.5,64.7,15.3,78.4,12.1,0,2.7,0,7.5,0,22.5,0,9.3,0,9.9,10.9,5.1,18,10.7,0,22.5,6,5.3,11,7.3,89.1,5.1,82,10.7,100,22.5,94,5.3,89,7.3
1400000US08001007900,8001007900,"Census Tract 79, Adams County, Colorado",1750,97,680,103,194,95,333,87,543,125,3.68,0.29,4.56,0.47,3.94,0.91,5.03,0.73,1.65,0.3,1207,115,680,103,194,95,333,87,(X),(X),4.3,0.27,4.42,0.38,3.29,0.65,4.64,0.67,(X),(X),692,109,471,99,16,27,205,72,(X),(X),21.2,10.3,21.4,12.1,100,74.1,14.6,11.8,(X),(X),44.9,12.3,42.7,16,0,74.1,53.7,21.8,(X),(X),33.8,11.4,35.9,13.9,0,74.1,31.7,19.9,(X),(X),1750,97,680,103,194,95,333,87,543,125,47.8,6.9,71.9,7.4,48.5,25.5,76,12.7,0,5.8,15.5,4.1,11.9,5.5,0,15.4,22.2,12.3,21.5,9.8,20.9,5.7,(X),(X),(X),(X),(X),(X),67.2,11.5,3.8,2.5,(X),(X),(X),(X),(X),(X),12.2,7.7,0.3,0.5,(X),(X),(X),(X),(X),(X),(X),(X),10.6,4.1,(X),(X),(X),(X),(X),(X),(X),(X),50.9,6,62.8,11.6,39.7,24.3,55.6,15.9,37,12.1,49.1,6,37.2,11.6,60.3,24.3,44.4,15.9,63,12.1,0,1.8,0,4.7,0,15.4,0,9.3,0,5.8,26.1,4.1,34.4,8.4,9.3,8.8,34.5,13.5,16.6,8,73.9,4.1,65.6,8.4,90.7,8.8,65.5,13.5,83.4,8
1400000US08001008000,8001008000,"Census Tract 80, Adams County, Colorado",1762,76,757,129,235,90,168,68,602,105,3.35,0.25,4.19,0.38,4.43,0.76,5.18,1.2,1.36,0.19,1160,115,757,129,235,90,168,68,(X),(X),4.19,0.32,4.11,0.38,3.79,0.66,5.1,1.21,(X),(X),587,96,374,80,131,69,82,54,(X),(X),17.7,9.6,20.1,12.7,18.3,20.1,6.1,12.1,(X),(X),44.6,14.8,48.1,18,41.2,35.8,34.1,34.9,(X),(X),37.6,14,31.8,17.2,40.5,30.7,59.8,35.8,(X),(X),1762,76,757,129,235,90,168,68,602,105,41.4,5.7,55.4,7.6,67.7,20.8,85.1,13.2,1.3,1.9,30.3,5.8,32,8.2,34.9,19.9,24.4,17.2,28.1,10.7,28.3,5,(X),(X),(X),(X),(X),(X),82.9,7.7,4.4,2.8,(X),(X),(X),(X),(X),(X),12.8,8.1,0.3,0.4,(X),(X),(X),(X),(X),(X),(X),(X),8,4.1,(X),(X),(X),(X),(X),(X),(X),(X),81.1,5.6,87.1,8.5,96.2,6.2,88.7,13.8,65.6,11.6,18.8,5.6,12.7,8.6,3.8,6.2,11.3,13.8,34.4,11.6,0.1,0.3,0.3,0.8,0,12.9,0,17.5,0,5.3,57.1,7.1,64.3,11,68.9,19.2,48.2,23.9,45.8,11.3,42.9,7.1,35.7,11,31.1,19.2,51.8,23.9,54.2,11.3
1400000US08001008100,8001008100,"Census Tract 81, Adams County, Colorado",514,61,72,32,6,10,27,25,409,72,1.64,0.17,2.14,0.2,2.17,0.84,3.07,0.85,1.45,0.21,105,39,72,32,6,10,27,25,(X),(X),2.38,0.28,2.14,0.2,2.17,0.84,3.07,0.85,(X),(X),2,4,2,4,0,12,0,12,(X),(X),100,100,100,100,-,**,-,**,(X),(X),0,100,0,100,-,**,-,**,(X),(X),0,100,0,100,-,**,-,**,(X),(X),514,61,72,32,6,10,27,25,409,72,2.9,2.9,2.8,5.9,0,100,48.1,51.4,0,7.6,9.9,5.8,12.5,14.5,0,100,0,57.1,10.3,7.2,57,10.1,(X),(X),(X),(X),(X),(X),71.6,10.8,5.8,3.9,(X),(X),(X),(X),(X),(X),7.3,4.9,1.6,2.6,(X),(X),(X),(X),(X),(X),(X),(X),8.2,6.2,(X),(X),(X),(X),(X),(X),(X),(X),4.1,4,4.2,6.2,0,100,0,57.1,4.4,4.9,88.5,6.5,95.8,6.2,0,100,25.9,40.4,92.7,5.7,7.4,5.3,0,34.4,100,100,74.1,40.4,2.9,3.3,9.3,5.7,4.2,6.2,100,100,74.1,40.4,4.6,4.2,90.7,5.7,95.8,6.2,0,100,25.9,40.4,95.4,4.2
1400000US08001008200,8001008200,"Census Tract 82, Adams County, Colorado",1452,69,723,111,84,55,213,71,432,106,3.42,0.3,4.11,0.4,3.15,0.69,5.18,1.18,1.46,0.26,1020,107,723,111,84,55,213,71,(X),(X),4.06,0.35,4.01,0.38,2.83,0.45,4.7,1.07,(X),(X),404,97,311,81,28,40,65,49,(X),(X),10.1,8.6,6.4,7.4,0,56,32.3,32.2,(X),(X),28.2,13.6,25.1,16.4,100,56,12.3,22.7,(X),(X),61.6,16.3,68.5,17.6,0,56,55.4,33.8,(X),(X),1452,69,723,111,84,55,213,71,432,106,41.2,7.1,50.5,9.9,41.7,37.8,73.7,15.3,9.5,9.4,38.9,5.8,33.3,8.4,36.9,35.4,46,19.6,45.1,14.7,20.5,5.1,(X),(X),(X),(X),(X),(X),68.8,17,11.3,3.5,(X),(X),(X),(X),(X),(X),38,12.3,0,2.2,(X),(X),(X),(X),(X),(X),(X),(X),8.3,5.6,(X),(X),(X),(X),(X),(X),(X),(X),92.1,4.1,95.4,5.1,100,31,100,14.1,81,13,7.2,4.2,3,4.6,0,31,0,14.1,19,13,0.8,1.1,1.5,2.2,0,31,0,14.1,0,7.2,66.4,7.3,69.4,9.8,65.5,36.3,39,19.8,75,13.4,33.6,7.3,30.6,9.8,34.5,36.3,61,19.8,25,13.4
1400000US08001008308,8001008308,"Census Tract 83.08, Adams County, Colorado",1752,134,693,127,190,74,367,112,502,109,3.28,0.29,4.48,0.57,3.46,0.82,3.99,0.6,1.03,0.03,1250,126,693,127,190,74,367,112,(X),(X),4.04,0.33,4.42,0.56,3.39,0.8,3.63,0.54,(X),(X),772,135,428,124,105,66,239,110,(X),(X),24.7,12.9,34.3,17.4,41.9,40.6,0,12.7,(X),(X),36,12,42.5,14.6,29.5,40.5,27.2,25.3,(X),(X),39.2,14.3,23.1,15.4,28.6,37.5,72.8,25.3,(X),(X),1752,134,693,127,190,74,367,112,502,109,51.1,6.8,70,10.8,74.7,18.6,73.3,14,0,6.3,29.7,5.8,25.3,8.8,31.1,22.1,16.6,11.9,45,11.2,27.9,5.5,(X),(X),(X),(X),(X),(X),97.2,3,10.3,3.8,(X),(X),(X),(X),(X),(X),36.1,11.5,0.5,0.8,(X),(X),(X),(X),(X),(X),(X),(X),4.3,2.6,(X),(X),(X),(X),(X),(X),(X),(X),31.4,6.5,34.8,11.6,34.7,28.6,32.7,17.1,24.7,10.7,30.5,7,20.1,11.1,46.8,28.9,39,20.6,32.7,11,38,7.4,45.2,13,18.4,25.1,28.3,14.6,42.6,11.3,52.6,8.1,58.6,12.4,53.2,28.9,26.4,15.5,63.1,11.9,47.4,8.1,41.4,12.4,46.8,28.9,73.6,15.5,36.9,11.9
1400000US08001008309,8001008309,"Census Tract 83.09, Adams County, Colorado",1056,69,473,102,82,41,197,99,304,98,3.5,0.36,4.64,0.49,5.01,1.74,3.51,0.5,1.33,0.23,752,113,473,102,82,41,197,99,(X),(X),4.24,0.42,4.64,0.49,4.46,1.22,3.19,0.53,(X),(X),531,100,349,99,69,42,113,77,(X),(X),22.2,15.1,26.9,18.1,0,35.4,21.2,33.3,(X),(X),35.8,14.6,34.1,18.4,53.6,51.4,30.1,22.7,(X),(X),42,14.5,39,18.4,46.4,51.4,48.7,23.6,(X),(X),1056,69,473,102,82,41,197,99,304,98,55.2,8.7,80.1,8.9,84.1,20.2,68.5,23.8,0,10.1,23,7.3,16.5,8.8,9.8,15.2,4.1,6.8,49,19.8,21.5,8.7,(X),(X),(X),(X),(X),(X),74.7,15.1,8.4,4.9,(X),(X),(X),(X),(X),(X),29.3,16.2,0.6,0.9,(X),(X),(X),(X),(X),(X),(X),(X),10.4,6.7,(X),(X),(X),(X),(X),(X),(X),(X),27,8.5,26,13.7,54.9,42.4,35,21.3,15.8,13,14.1,7.4,11,8.7,0,31.5,35.5,25.2,8.9,13.7,58.9,9.4,63,15.8,45.1,42.4,29.4,15,75.3,17.7,69.2,9.4,78.4,12.5,73.2,38.7,38.6,18.3,73.7,17.9,30.8,9.4,21.6,12.5,26.8,38.7,61.4,18.3,26.3,17.9
1400000US08001008353,8001008353,"Census Tract 83.53, Adams County, Colorado",2016,141,924,155,30,37,368,104,694,172,2.75,0.26,3.32,0.34,4.33,2.1,4.25,0.46,1.14,0.1,1322,165,924,155,30,37,368,104,(X),(X),3.5,0.27,3.28,0.32,4.33,2.1,3.98,0.48,(X),(X),550,141,308,121,0,17,242,98,(X),(X),17.1,12.5,25.3,19.2,-,**,6.6,11.6,(X),(X),21.3,15.7,11.4,11.9,-,**,33.9,31.3,(X),(X),61.6,17.5,63.3,20.6,-,**,59.5,31.1,(X),(X),2016,141,924,155,30,37,368,104,694,172,39.1,7.4,50.4,12.2,63.3,60.4,82.3,10.3,0,4.6,24.4,7,28.2,11,0,54.1,29.9,22.2,17.3,10.3,30.5,7.7,(X),(X),(X),(X),(X),(X),88.6,8.1,5.1,3.6,(X),(X),(X),(X),(X),(X),14.8,9.7,0,1.6,(X),(X),(X),(X),(X),(X),(X),(X),2.4,1.9,(X),(X),(X),(X),(X),(X),(X),(X),83.3,5.5,87.4,7.5,100,54.1,86.1,12.2,75.5,13.4,16.7,5.5,12.6,7.5,0,54.1,13.9,12.2,24.5,13.4,0,1.6,0,3.5,0,54.1,0,8.4,0,4.6,71,7.9,85.5,10.2,100,54.1,38,24.4,68,14.8,29,7.9,14.5,10.2,0,54.1,62,24.4,32,14.8
1400000US08001008401,8001008401,"Census Tract 84.01, Adams County, Colorado",1603,115,893,121,56,35,125,57,529,111,2.6,0.18,3.2,0.24,3.73,0.76,3.9,0.83,1.15,0.08,1074,106,893,121,56,35,125,57,(X),(X),3.22,0.19,3.17,0.24,3.02,0.61,3.7,0.77,(X),(X),484,93,384,99,48,32,52,40,(X),(X),21.5,10.2,20.3,10.9,54.2,33.6,0,41.1,(X),(X),12.8,5.2,10.4,5.7,22.9,24.8,21.2,25.2,(X),(X),65.7,10.4,69.3,11.3,22.9,28.5,78.8,25.2,(X),(X),1603,115,893,121,56,35,125,57,529,111,34.2,5.9,44.8,8.7,85.7,21.6,80,18.1,0,6,30.1,5.4,27.4,6.4,14.3,21.6,46.4,28.2,32.3,11.4,28.1,5.6,(X),(X),(X),(X),(X),(X),85.1,7.3,7.7,3.9,(X),(X),(X),(X),(X),(X),23.4,10.7,1.3,1.5,(X),(X),(X),(X),(X),(X),(X),(X),6.4,2.3,(X),(X),(X),(X),(X),(X),(X),(X),88.1,3.5,91.7,3.7,100,39.6,57.6,27.8,87.9,6.9,1.9,0.8,1.3,1.4,0,39.6,0,22.6,3.6,1.8,10,3.4,6.9,3.4,0,39.6,42.4,27.8,8.5,6.8,83.5,5.3,91.3,4.3,58.9,31.4,62.4,24,77.9,11.3,16.5,5.3,8.7,4.3,41.1,31.4,37.6,24,22.1,11.3
