GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC03_EST_VC25,HC03_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC03_EST_VC26,HC03_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC03_EST_VC27,HC03_MOE_VC27
1400000US08001007801,8001007801,"Census Tract 78.01, Adams County, Colorado",2711,311,1554,233,1157,181,38.2,7.6,45,9.5,29,9.8,8.4,3.4,8.8,4.3,8,4.9,11.8,5.1,11.2,8.1,12.7,5.8,5.5,4.5,9.1,7.7,0.5,0.8,7.1,3.3,9.3,4.7,4.1,3.5,29,5.9,16.6,6.9,45.5,8.1,47,6.5,60.4,8.6,29,8.3,35.3,6.9,46.2,9.8,20.6,8.8,29.5,6.9,39.3,9.6,16.2,8.5,23,5,21.1,7.1,25.5,7.6,11.4,3.7,7.6,4.8,16.5,5.8,8.7,3.7,5.7,4.5,12.8,6,1.1,1.2,1.9,2,0,2.8,0,1.2,0,2.1,0,2.8,0,1.2,0,2.1,0,2.8,29,5.9,16.6,6.9,45.5,8.1,37.1,1.8,37.8,2.1,35.7,2.7,11.1,(X),(X),(X),(X),(X),14.6,(X),(X),(X),(X),(X),13.6,(X),(X),(X),(X),(X)
1400000US08001007802,8001007802,"Census Tract 78.02, Adams County, Colorado",2512,339,1275,257,1237,213,40.7,7.4,50.9,11,30.2,8,4.9,3,5.3,4.2,4.4,4,5.1,2.3,8.3,4.5,1.9,1.9,4.2,3,5.3,5.3,3,2.5,10.9,5.8,11.6,7.8,10.3,6.5,34.2,6.7,18.6,8,50.3,8.2,42.7,7.5,54.8,11.5,30.2,8.2,34.9,7.1,44.5,11.1,25.1,7.2,32.3,7.1,43.6,11.4,20.6,7.3,20.3,7.7,22.7,11.6,17.9,7.9,9.6,4,10.2,6.6,8.9,4.9,7.3,3.6,5.8,5.3,8.9,4.9,2.8,1.8,3.9,3,1.7,2,1.1,1.2,1.5,2,0.6,1,1.1,1.2,1.5,2,0.6,1,34.2,6.7,18.6,8,50.3,8.2,36.3,2.7,37.1,3,34.9,4.1,6.2,(X),(X),(X),(X),(X),7.1,(X),(X),(X),(X),(X),6.9,(X),(X),(X),(X),(X)
1400000US08001007900,8001007900,"Census Tract 79, Adams County, Colorado",4192,321,2384,287,1808,216,40.1,5.4,43.3,8.1,35.8,6.2,11.3,4.1,15.5,6.5,5.8,2.5,8,2.7,9.8,4.4,5.5,2.9,7.7,2.5,8.4,3.4,6.9,3.7,8.2,2.3,7.7,3.7,8.8,4.4,24.7,3.4,15.4,4.5,37.1,6.3,50.5,4.1,60.2,6.3,37.8,6.2,39.6,4.1,46.3,6.7,30.8,5.7,31.9,4.8,35.9,7.5,26.7,5.4,22.5,4.3,23.3,5.7,21.4,5.8,10.9,3.1,12.5,4.2,9,4.1,7.3,2.5,7.4,3.2,7.2,3.7,2.2,1.4,1.2,1.3,3.7,2.8,0.8,0.9,0,1.4,1.9,2,0.8,0.9,0,1.4,1.9,2,24.7,3.4,15.4,4.5,37.1,6.3,36.8,1.3,38.2,1.8,34.2,2,7.7,(X),(X),(X),(X),(X),9.8,(X),(X),(X),(X),(X),8.4,(X),(X),(X),(X),(X)
1400000US08001008000,8001008000,"Census Tract 80, Adams County, Colorado",3836,259,2172,216,1664,195,46,6.7,53.9,9,35.6,8.2,4.8,2,6.4,3.2,2.7,2,5.3,2.8,3.7,2.8,7.5,4.4,7.5,2.6,6.5,2.5,8.7,5.6,8.1,2.8,5.4,3,11.5,5.4,28.3,5.2,24,6.8,34,7.3,52.2,5.6,59.8,7.4,42.2,7.8,44.5,6.2,54.2,7.6,31.7,8,40.2,6.7,48.2,8.6,29.7,8.2,15.6,3.9,14.1,4.1,17.5,6.9,6,2.1,6.1,2.4,5.9,3.4,5.8,2.2,5.7,2.6,5.9,3.4,3.9,2.5,2.1,2.7,6.3,4.5,0.3,0.5,0,1.5,0.7,1.2,0,0.8,0,1.5,0,1.9,28.3,5.2,24,6.8,34,7.3,37.7,1.4,39.6,1.6,34.7,2.4,11.3,(X),(X),(X),(X),(X),15,(X),(X),(X),(X),(X),15.3,(X),(X),(X),(X),(X)
1400000US08001008100,8001008100,"Census Tract 81, Adams County, Colorado",846,122,412,122,434,103,53.8,11.5,55.6,18.2,52.1,11.1,4.3,3.4,1.7,2.1,6.7,6.4,4.4,4.3,2.4,2.8,6.2,7.7,6.5,5.1,12.6,11.4,0.7,1.5,8,6.3,14.1,12.1,2.3,2.7,23,9.4,13.6,9.9,32,12,46.5,10.5,44.7,17.3,48.2,11,43.6,9.9,38.8,14.6,48.2,11,41.4,10.2,37.6,14.5,44.9,10.4,16.9,7.6,18.4,13.4,15.4,9.4,5.1,4.1,1.9,2.7,8.1,7.2,3.4,3.3,1.5,2.4,5.3,6.1,13.6,12.2,23.3,21.9,4.4,5.7,9.3,11.6,16.5,21.8,2.5,3.1,9,11.6,16.5,21.8,1.8,2.8,23,9.4,13.6,9.9,32,12,35.3,5.6,33,8.9,38.2,5.2,0.5,(X),(X),(X),(X),(X),0.7,(X),(X),(X),(X),(X),0.7,(X),(X),(X),(X),(X)
1400000US08001008200,8001008200,"Census Tract 82, Adams County, Colorado",3298,410,1780,287,1518,213,46.7,6.6,49,7.7,44.1,9.7,5.2,2.9,7,4.2,3.2,2.7,10.6,4.2,17,7.1,3.2,2.9,2.9,1.8,4.8,3.4,0.6,0.9,5.4,2.7,3.5,3,7.7,4.7,29.1,8.1,18.8,9.3,41.2,10.8,55,7.8,64.9,10.4,43.4,10,45.3,7,48.4,8.1,41.7,10.2,43.1,6.5,45.6,7.6,40.1,9.5,12.5,3.4,13.5,5.1,11.3,4,5.7,2.3,6.6,3.4,4.7,3,2.8,1.5,2.4,1.9,3.2,2.6,3.4,2,2.8,2.1,4,3.2,0.9,0.9,1,1.3,0.9,1.1,0.9,0.9,1,1.3,0.9,1.1,29.1,8.1,18.8,9.3,41.2,10.8,38.9,2.2,40.6,2.8,36.2,2.6,3.3,(X),(X),(X),(X),(X),3.8,(X),(X),(X),(X),(X),7.7,(X),(X),(X),(X),(X)
1400000US08001008308,8001008308,"Census Tract 83.08, Adams County, Colorado",3455,339,1711,227,1744,197,38,7.3,43.1,9,33,10.3,9.8,4.5,11,5,8.5,5.1,7.8,3.6,8,4.6,7.7,4.6,4.7,2.4,3.4,3,6,3.4,10.1,3.8,12.4,4.4,7.8,4.3,29.6,7.2,22,7.2,36.9,10.9,43.7,7.5,53.2,9.9,34.4,8.7,35.5,6.3,44.3,8.9,26.8,8.9,28.8,6.3,35.2,8.5,22.6,8.4,23.6,4.9,22.2,6.9,25.1,8,11.4,3.6,9.9,5.3,13,6.3,8.3,3.1,7.9,4.6,8.7,5,3.1,1.9,2.6,2.1,3.6,3.1,0.9,1.4,0,1.9,1.8,2.7,0.9,1.4,0,1.9,1.8,2.7,29.6,7.2,22,7.2,36.9,10.9,35.3,1.7,36.9,2,33.3,2.4,6.8,(X),(X),(X),(X),(X),11.1,(X),(X),(X),(X),(X),7.6,(X),(X),(X),(X),(X)
1400000US08001008309,8001008309,"Census Tract 83.09, Adams County, Colorado",2120,255,981,144,1139,172,44.9,6.7,44,8.8,45.7,8.6,9.3,5,16.6,8.6,3,4,10.4,4.5,6.7,5.5,13.6,6.9,2.4,1.9,3.8,3.9,1.1,1,2.2,2.2,3.5,4.3,1.1,1.4,30.8,7.1,25.4,8.4,35.5,10.7,56.4,8.3,65.7,9.4,48.3,11.7,45.1,7.2,52.9,9.4,38.5,9.4,36.9,6.8,38.6,8.3,35.5,8.8,9.6,4.7,8.3,6.4,10.7,5.9,9.1,4.8,7.7,6.3,10.2,5.9,8,4.7,5.4,5.1,10.2,5.9,3.3,2.9,0.6,0.9,5.5,5.5,0,1.5,0,3.3,0,2.8,0,1.5,0,3.3,0,2.8,30.8,7.1,25.4,8.4,35.5,10.7,38.8,2,41.1,2.5,36.6,3,4.6,(X),(X),(X),(X),(X),8.6,(X),(X),(X),(X),(X),4.9,(X),(X),(X),(X),(X)
1400000US08001008353,8001008353,"Census Tract 83.53, Adams County, Colorado",4080,428,1847,280,2233,259,56.8,5.7,61.4,9.2,52.9,7.3,4.7,2.7,3.1,3.9,6.1,3,3.6,2.2,4.2,2.6,3.2,3.5,9.7,3.6,9.9,5.2,9.5,5.1,6.1,3,7.1,5.9,5.2,3.4,19.1,4.2,14.3,6.4,23.2,6.2,63.5,5.4,69.5,9.5,58.4,7.3,53.3,5.2,56.5,9.4,50.7,7.8,50.4,5.5,54.1,9.3,47.3,7.8,12.6,4.3,16.1,8.1,9.6,4.6,7.8,2.7,8,4.6,7.6,4.1,6.3,2.5,7.3,4.6,5.6,3.5,4.8,2.1,0.1,0.1,8.8,3.8,0.4,0.6,0,1.7,0.7,1.1,0,0.8,0,1.7,0,1.4,19.1,4.2,14.3,6.4,23.2,6.2,38.7,1.5,41.2,2.9,36.3,2.3,8.6,(X),(X),(X),(X),(X),8.8,(X),(X),(X),(X),(X),8.8,(X),(X),(X),(X),(X)
1400000US08001008401,8001008401,"Census Tract 84.01, Adams County, Colorado",2883,273,1463,149,1420,163,60.8,5.3,63,7.3,58.6,7.1,3.4,1.6,3.6,3,3.2,2,3.5,1.5,3.9,2.5,3.2,1.9,3.6,2.3,5.9,4.6,1.3,1.6,4.6,1.8,6.2,3.1,3,2.1,23.9,4.2,17.3,4.9,30.8,6.7,62.3,5.1,73.3,6.7,51,7.5,57.2,5.6,65.6,7.4,48.5,7.4,54.9,5.6,62.3,7.3,47.3,7.4,11.6,2.9,8,3.9,15.4,4.5,6.1,2.1,1.1,1.2,11.3,4.3,5.7,2.1,0.8,1.1,10.8,4.3,2.2,1.2,1.4,1.4,2.9,2.1,1,0.9,0,2.2,2,1.8,0.2,0.3,0,2.2,0.4,0.6,23.9,4.2,17.3,4.9,30.8,6.7,40.5,1.8,43.6,2.6,36.6,1.6,8.4,(X),(X),(X),(X),(X),10,(X),(X),(X),(X),(X),8.8,(X),(X),(X),(X),(X)
