GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
1400000US08001007801,8001007801,"Census Tract 78.01, Adams County, Colorado",1261,57,1166,81,95,64
1400000US08001007802,8001007802,"Census Tract 78.02, Adams County, Colorado",1427,67,1187,103,240,112
1400000US08001007900,8001007900,"Census Tract 79, Adams County, Colorado",1904,76,1750,97,154,79
1400000US08001008000,8001008000,"Census Tract 80, Adams County, Colorado",1810,82,1762,76,48,51
1400000US08001008100,8001008100,"Census Tract 81, Adams County, Colorado",566,55,514,61,52,34
1400000US08001008200,8001008200,"Census Tract 82, Adams County, Colorado",1479,66,1452,69,27,43
1400000US08001008308,8001008308,"Census Tract 83.08, Adams County, Colorado",1828,121,1752,134,76,79
1400000US08001008309,8001008309,"Census Tract 83.09, Adams County, Colorado",1106,65,1056,69,50,55
1400000US08001008353,8001008353,"Census Tract 83.53, Adams County, Colorado",2247,112,2016,141,231,121
1400000US08001008401,8001008401,"Census Tract 84.01, Adams County, Colorado",1661,105,1603,115,58,46
1400000US08001008402,8001008402,"Census Tract 84.02, Adams County, Colorado",1686,69,1567,94,119,69
1400000US08001008505,8001008505,"Census Tract 85.05, Adams County, Colorado",2620,103,2519,134,101,103
1400000US08001008506,8001008506,"Census Tract 85.06, Adams County, Colorado",2848,121,2606,191,242,146
1400000US08001008507,8001008507,"Census Tract 85.07, Adams County, Colorado",2260,91,2176,124,84,89
1400000US08001008508,8001008508,"Census Tract 85.08, Adams County, Colorado",1956,59,1834,91,122,79
1400000US08001008523,8001008523,"Census Tract 85.23, Adams County, Colorado",2728,108,2554,133,174,109
1400000US08001008524,8001008524,"Census Tract 85.24, Adams County, Colorado",2555,67,2512,99,43,65
1400000US08001008526,8001008526,"Census Tract 85.26, Adams County, Colorado",2476,67,2449,69,27,44
1400000US08001008529,8001008529,"Census Tract 85.29, Adams County, Colorado",3338,89,3058,179,280,181
1400000US08001008533,8001008533,"Census Tract 85.33, Adams County, Colorado",3247,75,3074,146,173,128
1400000US08001008534,8001008534,"Census Tract 85.34, Adams County, Colorado",1418,39,1399,51,19,27
1400000US08001008535,8001008535,"Census Tract 85.35, Adams County, Colorado",1249,44,1203,76,46,58
1400000US08001008536,8001008536,"Census Tract 85.36, Adams County, Colorado",874,68,832,84,42,39
1400000US08001008537,8001008537,"Census Tract 85.37, Adams County, Colorado",1953,76,1737,179,216,170
1400000US08001008538,8001008538,"Census Tract 85.38, Adams County, Colorado",1968,96,1930,104,38,45
1400000US08001008539,8001008539,"Census Tract 85.39, Adams County, Colorado",2851,130,2773,143,78,97
1400000US08001008540,8001008540,"Census Tract 85.40, Adams County, Colorado",2340,100,2289,130,51,70
1400000US08001008541,8001008541,"Census Tract 85.41, Adams County, Colorado",1605,101,1581,103,24,38
1400000US08001008542,8001008542,"Census Tract 85.42, Adams County, Colorado",2277,123,2198,143,79,89
1400000US08001008543,8001008543,"Census Tract 85.43, Adams County, Colorado",2514,123,2469,149,45,73
1400000US08001008544,8001008544,"Census Tract 85.44, Adams County, Colorado",1484,37,1373,100,111,100
1400000US08001008545,8001008545,"Census Tract 85.45, Adams County, Colorado",2231,57,2179,78,52,62
1400000US08001008546,8001008546,"Census Tract 85.46, Adams County, Colorado",1088,31,1048,64,40,52
1400000US08001008547,8001008547,"Census Tract 85.47, Adams County, Colorado",1185,46,1156,53,29,34
1400000US08001008548,8001008548,"Census Tract 85.48, Adams County, Colorado",533,48,526,48,7,10
1400000US08001008549,8001008549,"Census Tract 85.49, Adams County, Colorado",1360,41,1330,66,30,47
1400000US08001008550,8001008550,"Census Tract 85.50, Adams County, Colorado",2686,93,2557,129,129,108
1400000US08001008551,8001008551,"Census Tract 85.51, Adams County, Colorado",335,36,335,36,0,12
1400000US08001008603,8001008603,"Census Tract 86.03, Adams County, Colorado",801,37,769,49,32,39
1400000US08001008604,8001008604,"Census Tract 86.04, Adams County, Colorado",1169,60,1169,60,0,17
1400000US08001008605,8001008605,"Census Tract 86.05, Adams County, Colorado",1370,68,1305,74,65,45
1400000US08001008606,8001008606,"Census Tract 86.06, Adams County, Colorado",2307,83,2172,116,135,109
1400000US08001008705,8001008705,"Census Tract 87.05, Adams County, Colorado",1679,61,1467,102,212,95
1400000US08001008706,8001008706,"Census Tract 87.06, Adams County, Colorado",1741,63,1546,112,195,105
1400000US08001008709,8001008709,"Census Tract 87.09, Adams County, Colorado",2575,107,2409,169,166,130
1400000US08001008801,8001008801,"Census Tract 88.01, Adams County, Colorado",1523,60,1421,89,102,72
1400000US08001008802,8001008802,"Census Tract 88.02, Adams County, Colorado",1258,66,1201,76,57,52
1400000US08001008901,8001008901,"Census Tract 89.01, Adams County, Colorado",787,24,728,45,59,44
1400000US08001009001,8001009001,"Census Tract 90.01, Adams County, Colorado",1580,40,1500,65,80,60
1400000US08001009002,8001009002,"Census Tract 90.02, Adams County, Colorado",3391,96,3192,146,199,108
1400000US08001009101,8001009101,"Census Tract 91.01, Adams County, Colorado",1397,48,1326,76,71,61
1400000US08001009103,8001009103,"Census Tract 91.03, Adams County, Colorado",1062,88,997,89,65,57
1400000US08001009104,8001009104,"Census Tract 91.04, Adams County, Colorado",1851,78,1715,102,136,82
1400000US08001009202,8001009202,"Census Tract 92.02, Adams County, Colorado",1407,56,1320,75,87,59
1400000US08001009203,8001009203,"Census Tract 92.03, Adams County, Colorado",1705,56,1446,117,259,100
1400000US08001009204,8001009204,"Census Tract 92.04, Adams County, Colorado",2574,93,2434,150,140,113
