GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC03_EST_VC25,HC03_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC03_EST_VC26,HC03_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC03_EST_VC27,HC03_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC03_EST_VC28,HC03_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC03_EST_VC29,HC03_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC03_EST_VC30,HC03_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC03_EST_VC31,HC03_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC03_EST_VC32,HC03_MOE_VC32,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC03_EST_VC35,HC03_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC03_EST_VC36,HC03_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC03_EST_VC37,HC03_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC03_EST_VC38,HC03_MOE_VC38,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC03_EST_VC39,HC03_MOE_VC39,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC03_EST_VC42,HC03_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43,HC03_EST_VC43,HC03_MOE_VC43
1400000US08001007801,8001007801,"Census Tract 78.01, Adams County, Colorado",4149,450,2191,276,1958,311,11.1,3.9,8.6,5,13.8,4.4,10.3,3.6,9,3.8,11.7,5.6,8.2,2.7,6.7,3.7,10,4.8,10.1,3.3,9.2,4.7,11.2,4.3,6.9,2.7,3.8,3,10.4,3.7,10.7,2.9,15.4,4.4,5.6,3,6.1,3,6.6,5,5.5,3.4,8.9,2.6,8.7,3.9,9.1,3.8,6.2,2.9,9.7,5.5,2.4,2,6.1,2.8,6.1,3.3,6.1,3.3,4.3,2.5,4.6,2.5,4,3,4.2,1.7,5.4,2.7,2.9,2,3.5,1.9,3.4,2.2,3.5,2.8,1.6,1.1,1.7,1.5,1.4,1.1,0.8,1.1,1.1,1.5,0.5,0.8,1,0.9,0,1.5,2,1.8,0,0.8,0,1.5,0,1.6,0,0.8,0,1.5,0,1.6,18.5,4.1,15.7,5.8,21.7,5.6,6.5,2.6,6.4,3.7,6.7,3.9,10.5,3.5,6.6,4,14.9,4.8,49,4.7,53.4,7,44.2,6.1,68.7,5.7,73.8,6.6,63,7.1,63.9,5.9,69.3,7,57.9,6.7,6.8,3,6.3,3.3,7.5,4,4.7,2.4,3.8,2.5,5.7,3.2,3.4,2.2,2.9,2.4,3.9,2.6,1,0.9,0,1.5,2,1.8,26.3,2.2,28.1,3.9,21.7,2,111.9,20.8,(X),(X),(X),(X),65.2,14.1,(X),(X),(X),(X),5.6,3.6,(X),(X),(X),(X),59.6,14.4,(X),(X),(X),(X),0.6,(X),(X),(X),(X),(X),1.9,(X),(X),(X),(X),(X)
1400000US08001007802,8001007802,"Census Tract 78.02, Adams County, Colorado",4238,544,2117,357,2121,345,11.1,3.2,13.1,5.5,9.1,3.8,13,3.2,14.1,5.4,11.8,4.7,11,2.4,7.2,3.1,14.9,4.8,10.5,3.7,9.8,5.6,11.3,4.2,7.9,2.6,7.7,3.8,8,3.7,7.4,2.9,6,3.7,8.8,4.4,11.9,3.8,14.1,5.1,9.6,4.9,6.6,1.9,6.1,2.9,7.1,3.1,5.9,2.4,5.4,3.2,6.3,2.9,4.3,2,5.5,2.8,3.2,2.2,3.3,1.6,4.2,2.5,2.5,1.9,2.2,1.4,3.1,2.3,1.3,1.4,0.9,0.8,0,1.5,1.9,1.7,1.8,0.9,1.3,1.1,2.4,1.3,0.5,0.5,0.5,0.7,0.5,0.7,0.8,0.6,1,0.9,0.5,0.8,0.7,0.6,0.9,1,0.4,0.7,0.2,0.4,0,1.5,0.5,0.8,24,4.2,21.3,5.4,26.7,6.1,5.9,2.9,5.7,4.4,6,3.4,12.6,3.8,11.8,4.7,13.3,4.4,50.1,4.1,49.2,7.1,51,4.9,63.3,5,64,7.7,62.6,5.2,59,5,59.9,7.5,58.1,6.1,5,1.2,3.7,1.7,6.2,2.1,4.7,1.1,3.7,1.7,5.8,1.9,4,0.8,3.7,1.7,4.3,1.3,1.7,0.8,2,1.3,1.4,1,23,2.7,23.7,6.1,22.3,4,99.8,21.2,(X),(X),(X),(X),81.7,15.8,(X),(X),(X),(X),7.3,1.5,(X),(X),(X),(X),74.4,15.5,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0,(X),(X),(X),(X),(X)
1400000US08001007900,8001007900,"Census Tract 79, Adams County, Colorado",6452,530,3521,404,2931,344,11.2,2.5,9.1,2.7,13.7,3.7,10.5,2,10,3,11.2,2.6,8.4,2.1,8.5,2.5,8.3,3.1,7.2,2.4,8.2,4,6,2.8,9.6,2.3,9.2,3.9,10.2,3.3,11.6,2.8,11.1,3.5,12.1,3.5,7.4,2.2,8,2.8,6.7,2.6,7.1,1.8,8.9,3,5,2.5,5.8,1.5,5.9,2.6,5.7,2.2,7.4,2,7,2.6,8,3.5,4.9,1.7,6.1,2.2,3.4,1.9,3.6,1.7,3.6,2.2,3.7,1.9,1.9,0.9,1.7,1,2.1,1.4,1.1,0.8,1,1.1,1.3,1,0.3,0.3,0.1,0.3,0.6,0.8,0.8,0.6,0.6,0.5,1,0.7,1.1,0.6,0.9,0.8,1.2,1,0,0.5,0,0.9,0,1.1,18.9,2.8,18.5,3.2,19.4,4.4,3.8,1.5,4.5,2.1,3,1.9,13,3.1,12.9,5,13.1,3.8,48.7,3,51.3,5.4,45.6,4.6,68.2,3.5,70.3,4.8,65.7,4.5,66.1,3.5,67.9,4.8,63.9,4.5,5.2,1.3,4.3,1.6,6.1,2,4.4,1.1,3.8,1.5,5.2,1.7,3.3,1,2.6,1.3,4.1,1.5,1.8,0.8,1.5,0.9,2.2,1.3,26.2,2.2,26.3,3.6,26.1,3.9,120.1,19.8,(X),(X),(X),(X),59.2,8.8,(X),(X),(X),(X),5.2,1.7,(X),(X),(X),(X),54,8.5,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),1.8,(X),(X),(X),(X),(X)
1400000US08001008000,8001008000,"Census Tract 80, Adams County, Colorado",5911,452,3273,295,2638,355,9.7,2.7,9.4,2.9,10.1,5.9,10.2,2.3,9.8,3.5,10.6,3.7,6.9,2.4,7,3.3,6.8,3.5,8.2,2.2,9.1,3.4,7.2,3.6,7.1,2.7,6.9,3.5,7.4,3.8,7.8,2.1,4.8,2.5,11.4,3.5,6.8,2.9,7,3.5,6.6,3.2,8.4,1.9,11.1,3.3,5,2.2,4.5,1.7,4.3,1.7,4.8,2.7,6.7,2.1,6.9,2.6,6.4,3,5,1.8,5,2.1,4.9,2.5,5.2,1.7,4.6,2.1,6,2.4,6,2.5,8,3.6,3.6,2.3,2.7,1,2.2,1.4,3.3,2,3,1.1,2,1.7,4.1,1.7,1.1,0.8,1.2,1,1.1,1,0.4,0.4,0.6,0.7,0,1.2,0.3,0.4,0,1,0.8,0.9,17.1,3,16.8,4,17.4,4.5,4.2,2,4.1,2.6,4.4,2.9,11.1,2.8,11.9,3.3,10.1,4.3,42.8,3.3,43.2,4.9,42.4,5.1,72.4,3.6,72.4,4.4,72.3,6.7,69,4.2,69.7,4.6,68.1,7.2,13.5,2.8,14.1,3.6,12.8,3.6,9.8,1.9,9.1,2.4,10.8,2.9,7.5,1.7,6.1,1.8,9.2,2.5,1.8,0.9,1.8,1,1.9,1.4,30.1,3,31.5,3,28.3,3.1,124.1,20.7,(X),(X),(X),(X),62.7,10.7,(X),(X),(X),(X),12.2,2.9,(X),(X),(X),(X),50.5,10,(X),(X),(X),(X),0.7,(X),(X),(X),(X),(X),0.6,(X),(X),(X),(X),(X)
1400000US08001008100,8001008100,"Census Tract 81, Adams County, Colorado",1063,167,542,141,521,120,0.2,0.4,0.4,0.7,0,6,0,3,0,5.8,0,6,1.3,1.4,1.1,2,1.5,2.2,1.8,3,2.4,5.5,1.2,1.9,17.8,9.4,9.2,7,26.7,16,25.4,10,28,14.1,22.6,10.2,16,7.6,22.5,11.3,9.2,7.6,3,3.2,0.9,1.5,5.2,5.9,4,3.2,4.4,4.7,3.6,4.2,2.1,2.1,1.5,2.5,2.7,3.6,2.9,2.6,3,3.4,2.9,3.7,6,3.8,3,4.1,9.2,7.4,0.6,0.8,1.1,1.6,0,6,3,2.7,5.9,5.4,0,6,6.1,5.6,4.6,3.4,7.7,11.2,2.7,3.2,3.5,3.7,1.9,3.2,1.8,2.5,1.8,2.7,1.7,3,5.3,6.1,6.6,10.9,3.8,4.3,1.3,1.4,1.1,2,1.5,2.2,0.6,0.9,0,5.8,1.2,1.9,19,9.8,11.6,8.8,26.7,16,68,12.8,67.5,17.6,68.5,14.2,98.5,1.4,98.5,2.1,98.5,2.2,97.9,2.1,98.5,2.1,97.3,2.8,19.5,11.7,23.6,16.7,15.2,11.9,18.9,11.6,22.5,16.7,15.2,11.9,18.9,11.6,22.5,16.7,15.2,11.9,9.8,11.3,12,15.8,7.5,7.7,31.7,4.5,33.2,3.9,29.7,5.9,104,41.7,(X),(X),(X),(X),26.5,19,(X),(X),(X),(X),23.9,18.3,(X),(X),(X),(X),2.6,2.8,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0.4,(X),(X),(X),(X),(X)
1400000US08001008200,8001008200,"Census Tract 82, Adams County, Colorado",5072,452,2652,300,2420,279,5,1.5,4.9,2.3,5.1,1.9,9.5,3,12.3,5.1,6.4,3,6.6,2.5,7,3.8,6.2,3.4,8.4,2.6,5.2,2,11.9,4.4,8.7,3.5,10.1,4.2,7.2,3.9,8.3,3.3,11.5,5.5,4.7,2.6,7.5,3,7.7,3.2,7.3,4.2,6.3,2.4,7.1,2.8,5.5,2.7,5,1.8,5.3,2.4,4.7,2.6,8.5,2.5,7.1,2.4,10,3.7,4.7,1.5,4.5,2.2,4.9,2.5,4,2,3.8,2.3,4.2,2.4,5.6,1.9,4.7,2.7,6.6,3,3.4,1.5,3.4,1.9,3.4,1.7,2.9,1.3,2.6,1.4,3.3,1.7,2,1,0.8,0.9,3.2,1.6,2,1,1.4,1.2,2.6,1.6,1.6,0.9,0.4,0.7,2.9,1.6,16.1,3.7,19.3,6,12.5,3.8,4.3,2,0.9,0.8,8,4.1,12.9,3.6,14.4,4.4,11.2,4.3,44.3,4.4,47,6.5,41.4,5.6,76.9,3.8,75.8,5.6,78.1,4.3,74.7,3.6,74.9,5.7,74.4,4.2,17.5,2.6,13.4,3.7,21.9,4.3,14.1,2.2,9.8,2.4,18.8,3.6,11.9,1.9,8.7,2,15.4,2.9,5.5,1.6,2.6,1.5,8.7,2.6,31.6,3.4,29.5,2,36,4.3,109.6,15.7,(X),(X),(X),(X),59.2,10.7,(X),(X),(X),(X),18.9,3.8,(X),(X),(X),(X),40.3,8.2,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),1.7,(X),(X),(X),(X),(X)
1400000US08001008308,8001008308,"Census Tract 83.08, Adams County, Colorado",5752,532,2849,384,2903,285,11.2,2.9,13,4.3,9.5,3.4,9.6,2.8,10.4,5,8.8,3.2,9.5,3,7.1,3.5,11.7,4.2,8.6,2.7,9,3.4,8.2,3.7,7.8,2.6,9.5,4.4,6.1,3,8.1,2.4,9,3.3,7.2,3.8,7,1.9,4.1,2.4,9.9,2.7,9.1,2.3,9.7,3.2,8.6,3.8,2.1,1.2,2.6,1.7,1.6,1.2,6.6,2.4,5.9,2.6,7.3,3.4,4.5,1.6,4.6,2.4,4.4,2,4.6,2.3,4.5,2.7,4.7,2.6,3.3,1.5,3.5,1.7,3,2,3.6,1.2,3.6,1.9,3.6,1.4,2.4,1.1,2.5,1.6,2.2,1.5,0.8,0.7,0.6,0.6,1,0.8,0.5,0.4,0.5,0.6,0.6,0.6,0.8,0.8,0,1.1,1.5,1.6,19.1,3.8,17.5,5.1,20.6,5.4,4.9,2.2,6,3.3,3.8,2.4,11.5,2.5,12.5,4.2,10.6,3.2,42.7,3.7,43.9,6.3,41.6,4.9,68.1,4.2,67.2,7.2,69,4.7,64.8,3.8,63.5,6.8,66.2,4.4,11.3,2.6,10.6,3,12,3.2,9.8,2,9.2,2.7,10.4,2.8,8,1.6,7.2,2.2,8.9,2.7,2.1,1.1,1.1,0.9,3.1,1.9,26.9,2.5,26.1,3.3,28.8,3.8,98.1,14.3,(X),(X),(X),(X),76.1,10.9,(X),(X),(X),(X),14.2,3,(X),(X),(X),(X),61.9,10.3,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0.4,(X),(X),(X),(X),(X)
1400000US08001008309,8001008309,"Census Tract 83.09, Adams County, Colorado",3701,442,1795,271,1906,298,14.2,3.7,14,6.9,14.3,3.6,10.2,3.3,14,6.1,6.6,3.5,10,3,10.1,3.6,9.9,4.9,8.6,3,9.4,3,8,4.8,7.2,3.2,8,4.4,6.5,4.3,3.6,2.6,2.9,2.7,4.3,3.6,5.5,2.5,3.8,3.4,7.1,4.1,10.5,3.4,7.9,3.9,12.9,4.3,9.1,3.2,11.2,4.7,7.1,3.8,3.8,1.8,3.6,2.3,3.9,2.7,6.9,2.8,7.7,3.9,6.1,3.2,1.7,1.4,0.7,0.9,2.6,2.3,1.3,0.9,0.8,1,1.7,1.5,2.7,1.5,1.7,1.4,3.7,2.2,1.8,1,1.8,1.5,1.8,1.8,2.6,1.8,1.9,2.3,3.1,2.9,0.4,0.5,0.4,0.6,0.4,0.7,0,0.9,0,1.8,0,1.7,20.2,4.1,24.1,6.9,16.5,6.1,5.6,1.9,7.9,2.8,3.4,2.7,10.3,2.9,9.5,4.3,11,4.4,44.5,3,43.1,6.1,45.9,5,64.8,4.9,60.6,7.9,68.8,7,60.1,4.9,54,8,65.8,7.7,8.8,3.1,6.7,3.3,10.8,4.3,8.4,3,6.2,3.2,10.4,4.3,7.5,2.9,5.9,3.1,9.1,4,3,1.9,2.3,2.4,3.6,3.1,24.9,4.5,21,4,30.5,7.1,94.2,18.4,(X),(X),(X),(X),90.4,16,(X),(X),(X),(X),14.4,5.7,(X),(X),(X),(X),76,15,(X),(X),(X),(X),0.4,(X),(X),(X),(X),(X),0.6,(X),(X),(X),(X),(X)
1400000US08001008353,8001008353,"Census Tract 83.53, Adams County, Colorado",5560,584,2586,423,2974,313,5.6,2.2,7.7,3.8,3.8,2.5,6.9,2.8,8.9,5.3,5,3,6.6,2.2,6.2,3.2,7,2.9,8.4,2.6,9,4.2,7.8,4.3,6.7,2.1,6.3,2.9,7.1,3.4,10.7,3.2,13,5.4,8.7,4,3.9,2.2,2.5,2,5.1,3.6,8.3,2.4,6.7,3.6,9.7,3.4,7,2.4,5.3,3.5,8.4,4,9.8,2.9,8.6,3,10.8,4.9,8.2,2.5,11.1,4.4,5.7,2.9,6.9,2.3,6.7,3.7,7.1,2.6,4.3,2.2,3.8,2.6,4.7,2.8,3.1,2.2,1,1.7,4.9,3.9,2,1.3,2.3,1.9,1.7,1.5,0.7,0.8,0.5,0.8,0.9,1,0.6,0.7,0,1.2,1.1,1.4,0.5,0.6,0.5,0.9,0.4,0.7,13.5,3,15.1,6.2,12.1,3.8,7.2,2.7,7,4.2,7.5,4.3,7.8,2,8.3,3,7.4,3.4,44.9,3.7,42.8,6.8,46.7,5,80.2,3.6,75.8,7.2,84.1,4.8,73.7,3.1,70.3,7,76.6,6,11.1,3.4,8.1,3.7,13.7,5.2,10,3.2,6.9,3.4,12.7,5.2,6.8,2.4,4.3,2.7,9,4,1.7,1.3,1,1.3,2.4,1.8,35.5,4.1,29.2,6.5,38.9,3.3,87,15,(X),(X),(X),(X),49.6,7.5,(X),(X),(X),(X),10.2,3.9,(X),(X),(X),(X),39.4,6.2,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),1,(X),(X),(X),(X),(X)
1400000US08001008401,8001008401,"Census Tract 84.01, Adams County, Colorado",4161,374,2087,205,2074,231,5.1,1.6,5,1.8,5.2,2.5,7.6,2.1,8.8,2.3,6.5,3.4,6.8,1.7,6.1,2.4,7.5,2.3,6.8,2,7.5,2.6,6.1,2.5,3.7,1.7,3.2,2.3,4.3,2.1,6.1,2.2,4.9,2.2,7.3,3.3,5.1,2.1,6.4,3.6,3.8,2.1,6.9,2.2,6.2,3.1,7.6,3.1,11.2,2.6,10.7,3.3,11.7,3.1,10.3,2.7,11.7,3.6,8.9,2.9,8.3,2.4,10.4,3.7,6.1,2.3,5.1,1.6,5.1,1.9,5.1,2,7,2.6,4.8,2.3,9.3,3.6,3.9,1.6,4.3,2.1,3.6,2.6,2.8,1.1,2,1.1,3.7,2.3,1.9,1,1.9,1.2,1.8,1.3,0.8,0.7,0.6,0.9,0.9,1,0.5,0.5,0.2,0.4,0.7,0.7,14.5,2.9,14.9,3.2,14,3.9,4.4,1.3,4.5,1.7,4.2,2.3,6.2,2,6.2,2.9,6.1,2.5,39.9,2.6,38.9,3.9,40.8,3.6,79.1,2.3,79.2,3.2,79.1,3.2,76.1,2.3,75.5,3.5,76.6,3.4,16.9,3.4,13.9,3.7,19.9,4.3,12.6,2.4,11.2,2.9,14,3.6,9.9,1.9,9.1,2.4,10.7,3.4,3.1,1.3,2.7,1.4,3.4,1.9,40.6,1.2,40.5,2,40.7,1.7,100.6,11,(X),(X),(X),(X),51,5.6,(X),(X),(X),(X),14.9,3.1,(X),(X),(X),(X),36.2,4.5,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),0.6,(X),(X),(X),(X),(X)
